time,latitude,longitude,magnitude
2017-05-25 15:42:51.500,36.1813333,-117.8455,3.71
2017-06-04 00:06:56.930,35.3975,-117.7128333,3.64
2017-06-06 22:45:25.164,38.7848,-119.6332,3.7
2017-06-10 04:31:06.552,38.792,-119.6331,3.5
2017-06-11 12:19:29.750,41.0418333,-124.1116667,3.53
2017-06-24 21:22:03.060,40.2878333,-124.2988333,4.03
2017-06-25 13:53:24.760,34.001,-116.9018333,3.53
2017-06-27 09:02:02.720,39.4675,-120.3388333,3.73
2017-06-27 09:09:21.860,39.4696667,-120.3343333,3.95
2017-06-30 19:34:38.820,37.5135,-118.9595,3.53
2017-07-09 09:12:05.040,37.5083333,-118.9543333,3.88
2017-07-10 01:44:12.770,40.62,-123.2913333,3.74
2017-07-17 09:27:04.956,36.7304,-115.9092,4.1
2017-07-26 19:43:57.700,33.1646667,-115.6463333,3.6
2017-08-03 21:25:01.635,40.4066,-119.9854,3.5
2017-08-12 03:00:10.260,38.0601667,-118.9173333,3.95
2017-08-22 19:51:59.450,35.9043333,-116.9223333,4.12
2017-08-24 12:54:32.120,38.7975,-122.7795,3.5
2017-08-31 15:59:16.280,38.621,-122.7033333,3.52
2017-09-19 06:20:44.370,34.0866667,-118.4756667,3.61
2017-09-19 18:45:43.780,36.0193333,-117.7698333,3.65
2017-09-20 17:10:08.630,40.8913333,-121.9836667,3.65
2017-09-22 23:17:19.050,40.4953333,-124.4173333,3.91
2017-09-26 08:40:06.317,38.3639,-118.8962,3.5
2017-10-08 01:10:45.592,41.8912,-119.6568,3.5
2017-10-10 00:53:18.270,37.3135,-121.672,4.09
2017-10-11 03:01:25.872,41.982,-118.5809,3.5
2017-10-13 23:10:32.130,39.2846667,-123.2341667,3.94
2017-10-24 07:00:51.690,33.1591667,-118.7178333,3.9
2017-10-26 20:38:51.340,34.4213333,-120.6785,4.33
2017-10-26 23:18:28.670,33.4618333,-118.1836667,3.71
2017-11-10 00:23:30.180,33.462,-116.4666667,3.52
2017-11-13 19:31:29.050,36.6305,-121.2443333,4.58
2017-11-15 01:23:53.150,36.6271667,-121.2378333,3.76
2017-12-07 00:33:15.330,33.1478333,-116.4791667,3.96
2017-12-07 03:57:38.180,33.1501667,-116.4795,3.57
2017-12-07 10:32:47.160,33.147,-116.4781667,3.53
2017-12-08 17:06:26.730,37.5513333,-118.8155,3.66
2017-12-08 22:19:17.110,37.5473333,-118.8103333,3.78
2017-12-09 02:27:47.510,37.5501667,-118.8065,3.52
2017-12-14 04:57:18.580,39.6076667,-123.6458333,4.26
2017-12-15 06:47:38.830,40.4218333,-124.592,3.87
2017-12-27 06:32:09.060,37.3965,-121.7468333,3.9
2017-12-29 04:45:42.610,40.2851667,-124.5095,3.82
2017-12-31 19:49:06.270,40.4846667,-123.39,3.76
2018-01-04 10:39:37.730,37.8551667,-122.2568333,4.38
2018-01-07 01:31:11.150,34.42,-120.0015,3.78
2018-01-13 06:26:58.400,33.1141667,-116.0738333,3.59
2018-01-14 19:56:11.650,34.8168333,-116.0733333,3.71
2018-01-18 05:55:11.950,38.785,-122.7433333,4.22
2018-01-24 06:02:33.030,36.9373333,-121.661,3.6
2018-01-25 10:09:56.810,33.741,-117.4911667,3.97
2018-02-11 09:02:30.140,33.6528333,-117.3418333,3.52
2018-02-23 20:19:39.660,37.8263333,-121.9845,3.51
2018-02-24 21:02:19.160,37.338,-117.907,3.51
2018-02-26 18:44:41.990,33.4825,-116.5036667,3.66
2018-03-07 18:05:00.420,35.4871667,-120.0265,3.69
